"Batch","Site","Transect","Date","Latitude","Longitude","Depth","Subregion","Zone","Habitat","Species","Width","Height","Bleaching","Old","Recent","oPercRecMort","dPercRecMort","TLRate","Disease Conditions","Other Conditions"
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","3","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","3","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","","","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","15","12","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","","","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","6","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","14","15","","1","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","6","3","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","5","4","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","6","8","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","5","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","6","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","3","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","10","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","15","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","4","1","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","8","5","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","6","3","","0","0","","","","",""
"FRRP 2005","A1146","1","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","22","10","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","3","1","PB","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","12","4","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","2","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","12","3","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","3","1","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","3","","10","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","5","5","","5","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","15","7","","5","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","1","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","20","12","","1","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","13","3","","5","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","5","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","7","","1","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","12","5","","5","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","7","","15","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","2","P","5","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","7","","5","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","10","1","","40","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","3","","0","0","","","","",""
"FRRP 2005","A1146","2","8/22/2005","25.40215","-80.1322333333333","8.202499","Biscayne","Forereef","SPGR_HR","PAST","7","2","","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PAST","5","2","","10","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SSID","4","2","PB","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","10","6","PB","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","DSTO","11","10","","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","AAGA","5","5","BL","10","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","8","9","PB","30","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","8","9","PB","70","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","5","8","BL","5","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","5","8","PB","10","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PAST","8","10","P","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","DSTO","6","3","","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PAST","4","4","P","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SRAD","5","1","PB","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","MCAV","4","5","P","5","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","AAGA","10","3","BL","20","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SSID","7","3","P","40","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PAST","6","5","P","40","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","6","4","BL","5","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","5","5","PB","5","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PAST","5","5","PB","5","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","DSTO","7","7","","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SSID","3","1","","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SSID","5","1","PB","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","5","3","PB","10","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PPOR","11","14","PB","60","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","AAGA","9","8","BL","10","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SRAD","7","3","BL","5","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","PSTR","13","9","P","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SSID","5","1","PB","30","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","SRAD","4","1","BL","0","0","","","","",""
"FRRP 2005","A1149","1","9/1/2005","25.57718","-80.10141","20.0141","Biscayne","Forereef","CONT_LR","AAGA","10","7","PB","40","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","SRAD","3","1","BL","0","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","PAST","12","8","","30","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","MMEA","15","30","","60","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","MCAV","12","6","","50","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","MCAV","10","6","","0","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","SINT","9","6","P","0","0","","","","",""
"FRRP 2005","A1150","1","8/23/2005","25.6780833333333","-80.0897833333333","36.091","Biscayne","Forereef","CONT_LR","SRAD","4","1","BL","0","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","MCAV","10","15","","0","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","PAST","7","10","","10","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","MCAV","7","10","","0","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","SSID","3","1","P","0","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","MCAV","5","2","","0","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","SSID","7","2","P","0","10","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","PPOR","10","8","","30","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","DLAB","5","2","","0","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","MMEA","30","18","","10","0","","","","",""
"FRRP 2005","A1150","2","8/23/2005","25.6780833333333","-80.0897833333333","42.653","Biscayne","Forereef","CONT_LR","MCAV","20","15","","60","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PAST","3","3","","40","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PAST","5","2","","0","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PFUR","4","8","PB","0","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","SSID","8","4","PB","0","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PDIV","8","8","","0","100","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","DSTO","10","8","","5","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","SSID","3","1","","5","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PPOR","3","5","","60","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","MCAV","6","6","","90","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PPOR","2","2","BL","0","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PPOR","3","5","","5","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PAST","3","2","","0","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PPOR","5","6","","40","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","SSID","5","4","","1","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PPOR","5","1","P","0","0","","","","",""
"FRRP 2005","A1151","1","8/22/2005","25.3883","-80.1333833333333","29.529","Biscayne","Forereef","SPGR_LR","PPOR","3","4","","30","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","10","7","","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","PPOR","7","6","","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","PAST","11","5","","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","SRAD","5","1","P","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","35","15","","75","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","PAST","7","6","","10","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","SSID","5","1","P","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","10","10","","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","AAGA","25","5","","15","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","30","30","","75","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","18","14","","40","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","SSID","8","1","P","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","6","1","","0","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","MCAV","16","18","P","25","0","","","","",""
"FRRP 2005","A1153","1","9/1/2005","25.5395","-80.09573","69.88529","Biscayne","Forereef","SPGR_LR","AAGA","6","","BL","20","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","4","3","","1","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","12","12","","5","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","DSTO","4","2","","0","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","MCAV","26","17","","10","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SINT","6","2","","1","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SSID","10","4","","5","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SBOU","12","9","P","40","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SINT","5","1","P","25","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SINT","12","6","","25","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","MCAV","15","10","","15","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","3","3","","5","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","5","3","","0","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","8","1","","0","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","4","3","","0","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","AAGA","6","3","","5","0","","","","",""
"FRRP 2005","A1154","1","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","MMEA","10","4","","0","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","MCAV","10","5","","10","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SSID","3","1","BL","0","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","5","8","PB","0","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SINT","5","5","BL","0","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SSID","5","1","PB","0","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","PAST","15","10","PB","0","0","","","","",""
"FRRP 2005","A1154","2","8/22/2005","25.5791","-80.0917666666667","45.934","Biscayne","Forereef","SPGR_LR","SSID","7","1","PB","0","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","SSID","10","2","PB","0","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","SSID","4","1","P","0","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","PAST","7","5","PB","15","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","PDIV","5","2","PB","0","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","PDIV","4","2","PB","0","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","PAST","6","1","","0","0","","","","",""
"FRRP 2005","A1157","1","8/22/2005","25.3757166666667","-80.1393333333333","32.81","Biscayne","Forereef","SPGR_LR","SRAD","3","1","P","0","0","","","","",""
